epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
33,4432.96,1.28145,2.12216,1.20088,0.00714,0.23324,0.79239,0.70612,0.78249,0.61447,0.7689,0.6923,0.74954,0.52167,1.19405,1.98782,0.99779,0.00793,0,4.36016e-05,4.36016e-05,4.36016e-05
34,4571.25,1.36344,2.29967,1.20937,0.00639,0.23324,0.77159,0.71631,0.78219,0.61463,0.74767,0.7008,0.75065,0.52287,1.18783,1.98365,0.9985,0.00786,0,4.12454e-05,4.12454e-05,4.12454e-05
35,4711.39,1.29818,2.17535,1.21026,0.0066,0.24607,0.7909,0.70462,0.78512,0.61626,0.77639,0.68966,0.75268,0.52449,1.18813,1.98178,0.99214,0.00785,0,3.88892e-05,3.88892e-05,3.88892e-05
36,4848.12,1.28622,2.17568,1.2072,0.0068,0.23413,0.78696,0.71015,0.78677,0.61795,0.76314,0.69524,0.75252,0.52617,1.18794,1.98201,0.98933,0.00785,0,3.6533e-05,3.6533e-05,3.6533e-05
37,4987.17,1.32952,2.14611,1.20443,0.00709,0.24127,0.78712,0.71368,0.78919,0.61954,0.76327,0.69871,0.75615,0.5266,1.19298,1.97378,0.98191,0.00792,0,3.41768e-05,3.41768e-05,3.41768e-05
38,5127.87,1.2468,2.15534,1.14868,0.00651,0.25019,0.74554,0.73868,0.79168,0.62066,0.72086,0.71934,0.75809,0.52705,1.191,1.97395,0.98165,0.00794,0,3.18206e-05,3.18206e-05,3.18206e-05
39,5261.36,1.26481,2.06856,1.16837,0.00718,0.2288,0.77539,0.73205,0.79072,0.61947,0.74985,0.7136,0.75649,0.52548,1.19051,1.97253,0.9807,0.00791,0,2.94644e-05,2.94644e-05,2.94644e-05
40,5395.51,1.20957,2.15708,1.14309,0.00698,0.2394,0.76442,0.73594,0.79105,0.61978,0.74151,0.71883,0.75616,0.52627,1.18772,1.96683,0.97902,0.00788,0,2.71082e-05,2.71082e-05,2.71082e-05
41,5524.87,1.32099,2.03805,1.10801,0.00806,0.14893,0.78902,0.72244,0.79238,0.62064,0.80935,0.68791,0.7593,0.52489,1.19991,1.97109,0.97445,0.00801,0,2.4752e-05,2.4752e-05,2.4752e-05
42,5655.77,1.28653,2.10286,1.08354,0.00872,0.1451,0.78388,0.72707,0.79273,0.61912,0.81532,0.68741,0.75884,0.52499,1.19982,1.96672,0.98018,0.00795,0,2.23958e-05,2.23958e-05,2.23958e-05
43,5786.47,1.29132,2.13171,1.11534,0.00858,0.14059,0.79927,0.71983,0.79277,0.61863,0.80851,0.68829,0.75875,0.52548,1.20789,1.96783,0.98008,0.00806,0,2.00396e-05,2.00396e-05,2.00396e-05
44,5922.96,1.32102,2.11034,1.11159,0.00791,0.14574,0.79162,0.72163,0.78626,0.61391,0.796,0.69514,0.75684,0.52183,1.21278,1.96365,0.99554,0.00812,0,1.76834e-05,1.76834e-05,1.76834e-05
45,6060.69,1.33069,2.13267,1.12536,0.00835,0.15247,0.79056,0.72743,0.78675,0.61366,0.77179,0.70702,0.75442,0.51993,1.21741,1.97452,1.00017,0.00823,0,1.53272e-05,1.53272e-05,1.53272e-05
46,6185.43,1.28027,2.07886,1.07262,0.00802,0.14217,0.78879,0.72567,0.78482,0.61197,0.7735,0.70715,0.75412,0.5187,1.2188,1.9756,1.00205,0.0082,0,1.2971e-05,1.2971e-05,1.2971e-05
47,6312.16,1.31211,2.06744,1.10219,0.0078,0.14921,0.77415,0.71246,0.78334,0.60979,0.76183,0.69979,0.75273,0.51722,1.22022,1.97688,1.00857,0.0082,0,1.06148e-05,1.06148e-05,1.06148e-05
48,6438.57,1.23421,2.06777,1.0542,0.0082,0.14444,0.78633,0.70318,0.78151,0.60926,0.77338,0.68827,0.75098,0.51661,1.21928,1.97705,1.00695,0.00812,0,8.2586e-06,8.2586e-06,8.2586e-06
49,6564.02,1.29052,1.98791,1.09835,0.0085,0.13926,0.78721,0.70139,0.78166,0.60874,0.77198,0.687,0.75135,0.51778,1.22342,1.98179,0.99902,0.00821,0,5.9024e-06,5.9024e-06,5.9024e-06
50,6691.53,1.24271,1.99654,0.99743,0.00877,0.14163,0.78533,0.69974,0.78071,0.60875,0.79093,0.67357,0.75026,0.51843,1.22409,1.97815,0.99616,0.00818,0,3.5462e-06,3.5462e-06,3.5462e-06
