epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,149.607,1.45271,2.53457,1.78996,0.00757,0.39494,0.64102,0.575,0.63845,0.47698,0.67952,0.53398,0.6096,0.40683,1.35384,2.34369,1.36112,0.00978,0,8.33e-06,8.33e-06,8.33e-06
2,283.692,1.40713,2.50946,1.65711,0.00782,0.38197,0.68774,0.56006,0.64296,0.47761,0.68307,0.54723,0.61574,0.40849,1.35151,2.32221,1.34302,0.00985,0,1.74966e-05,1.74966e-05,1.74966e-05
3,412.214,1.51742,2.48662,1.64152,0.00847,0.37866,0.68333,0.56977,0.64846,0.48473,0.68713,0.55597,0.62411,0.41341,1.34454,2.31496,1.32554,0.00972,0,2.62861e-05,2.62861e-05,2.62861e-05
4,544.268,1.34798,2.46244,1.54759,0.00803,0.38236,0.65917,0.60925,0.66495,0.49712,0.65673,0.5868,0.63595,0.42026,1.33524,2.29741,1.30211,0.00962,0,3.46987e-05,3.46987e-05,3.46987e-05
5,673.575,1.39341,2.47824,1.47268,0.00774,0.34685,0.68231,0.60138,0.6743,0.50702,0.69183,0.58988,0.6462,0.43132,1.33126,2.28592,1.28081,0.00949,0,4.27343e-05,4.27343e-05,4.27343e-05
6,805.346,1.3427,2.39406,1.47068,0.00781,0.32927,0.69307,0.60689,0.68825,0.51876,0.70431,0.59715,0.66877,0.43805,1.33007,2.27759,1.25627,0.00944,0,5.03929e-05,5.03929e-05,5.03929e-05
7,934.206,1.4245,2.37506,1.53885,0.00786,0.33396,0.72703,0.5971,0.69211,0.52488,0.73107,0.58727,0.66776,0.44769,1.31876,2.26229,1.2423,0.00924,0,5.76745e-05,5.76745e-05,5.76745e-05
8,1065,1.33381,2.38144,1.4979,0.00787,0.33427,0.72949,0.60046,0.704,0.53492,0.73527,0.58846,0.67875,0.44528,1.31157,2.24025,1.22338,0.00924,0,6.45792e-05,6.45792e-05,6.45792e-05
9,1195.03,1.35443,2.43747,1.48723,0.00816,0.31394,0.71697,0.6218,0.71381,0.5443,0.7458,0.59961,0.68667,0.45796,1.30341,2.21568,1.19879,0.00919,0,7.11068e-05,7.11068e-05,7.11068e-05
10,1328.6,1.41433,2.46185,1.44132,0.00728,0.32448,0.65963,0.69153,0.72726,0.55685,0.64419,0.67846,0.70031,0.46915,1.29455,2.20435,1.18888,0.00916,0,7.72574e-05,7.72574e-05,7.72574e-05
11,1454.66,1.30758,2.30809,1.3336,0.00787,0.30485,0.70172,0.68387,0.7327,0.55898,0.69412,0.65435,0.70488,0.47406,1.28921,2.18245,1.17146,0.00915,0,8.30311e-05,8.30311e-05,8.30311e-05
12,1584.92,1.47631,2.4671,1.48577,0.00713,0.29673,0.73377,0.65599,0.73544,0.56318,0.72765,0.63835,0.70476,0.4743,1.27672,2.16733,1.16589,0.00911,0,8.84277e-05,8.84277e-05,8.84277e-05
13,1711.73,1.34201,2.40912,1.42236,0.00776,0.30921,0.75017,0.65035,0.73863,0.56952,0.74949,0.64047,0.70973,0.47738,1.2671,2.15322,1.15073,0.00893,0,9.07256e-05,9.07256e-05,9.07256e-05
14,1843.5,1.30248,2.29576,1.41729,0.00709,0.29809,0.70871,0.6899,0.74063,0.57047,0.70811,0.66746,0.70817,0.48108,1.26677,2.13471,1.12804,0.00888,0,8.83694e-05,8.83694e-05,8.83694e-05
15,1979.61,1.30502,2.36695,1.33882,0.00788,0.29246,0.68938,0.699,0.74499,0.57007,0.67408,0.68263,0.71228,0.48475,1.26341,2.11797,1.11579,0.00894,0,8.60132e-05,8.60132e-05,8.60132e-05
16,2113.02,1.32307,2.24504,1.28111,0.00732,0.29789,0.761,0.6779,0.75157,0.57313,0.73789,0.6607,0.71578,0.48691,1.25771,2.11078,1.10181,0.00877,0,8.3657e-05,8.3657e-05,8.3657e-05
17,2241.38,1.27642,2.26261,1.23942,0.00732,0.27829,0.75628,0.68289,0.75465,0.57172,0.74237,0.66355,0.72153,0.49006,1.26038,2.08979,1.10139,0.00893,0,8.13008e-05,8.13008e-05,8.13008e-05
18,2378.11,1.32398,2.27878,1.38403,0.00794,0.29581,0.76003,0.68275,0.75906,0.579,0.74266,0.66452,0.72544,0.49527,1.25476,2.07437,1.08432,0.00869,0,7.89446e-05,7.89446e-05,7.89446e-05
19,2523.56,1.34536,2.32222,1.28837,0.00703,0.28323,0.74391,0.70316,0.7608,0.58398,0.73206,0.68592,0.72855,0.49892,1.24372,2.07107,1.06638,0.00844,0,7.65884e-05,7.65884e-05,7.65884e-05
20,2669.18,1.30874,2.19854,1.30788,0.00684,0.28167,0.74666,0.7097,0.76724,0.58766,0.75033,0.68948,0.73719,0.50395,1.2388,2.0648,1.05647,0.00842,0,7.42322e-05,7.42322e-05,7.42322e-05
21,2803.14,1.24693,2.1932,1.24964,0.007,0.27108,0.74799,0.71384,0.76904,0.59315,0.74911,0.69477,0.73832,0.50596,1.2317,2.05478,1.04865,0.00838,0,7.1876e-05,7.1876e-05,7.1876e-05
22,2935.28,1.2854,2.20934,1.25115,0.00678,0.28022,0.74091,0.72001,0.77006,0.59567,0.73778,0.69858,0.74067,0.51082,1.23113,2.04259,1.03635,0.00839,0,6.95198e-05,6.95198e-05,6.95198e-05
23,3072.37,1.36978,2.31834,1.28931,0.00701,0.25255,0.7492,0.71517,0.77112,0.59829,0.74878,0.69693,0.74221,0.5114,1.22293,2.03834,1.03536,0.00832,0,6.71636e-05,6.71636e-05,6.71636e-05
24,3204.1,1.2441,2.22248,1.24866,0.00689,0.25668,0.7633,0.71581,0.77261,0.59747,0.74562,0.69635,0.74006,0.51046,1.21816,2.03045,1.03079,0.00826,0,6.48074e-05,6.48074e-05,6.48074e-05
25,3342.12,1.40724,2.44713,1.28686,0.00644,0.27063,0.75768,0.71221,0.77265,0.59959,0.73223,0.69766,0.73874,0.50845,1.21229,2.02326,1.02395,0.00816,0,6.24512e-05,6.24512e-05,6.24512e-05
26,3477.58,1.35746,2.27048,1.24498,0.00691,0.25751,0.76276,0.72121,0.77345,0.5999,0.73759,0.705,0.7428,0.50926,1.21515,2.02314,1.01938,0.00814,0,6.0095e-05,6.0095e-05,6.0095e-05
27,3610.71,1.33438,2.22177,1.22471,0.00705,0.24967,0.77147,0.7109,0.7749,0.60233,0.75067,0.69984,0.74804,0.51192,1.20916,2.01568,1.02415,0.0081,0,5.77388e-05,5.77388e-05,5.77388e-05
28,3745.7,1.29945,2.25742,1.25241,0.00666,0.25229,0.77013,0.71606,0.77814,0.60423,0.74376,0.70031,0.74654,0.514,1.211,2.01501,1.01607,0.00809,0,5.53826e-05,5.53826e-05,5.53826e-05
29,3883.6,1.25807,2.21902,1.1984,0.007,0.25585,0.7741,0.71018,0.77714,0.60801,0.75336,0.69826,0.74782,0.51578,1.20565,2.00884,1.01377,0.00801,0,5.30264e-05,5.30264e-05,5.30264e-05
30,4016.23,1.17483,2.03849,1.10145,0.00718,0.24282,0.78787,0.70716,0.7797,0.60967,0.76504,0.69519,0.75038,0.51894,1.2078,2.00392,1.00281,0.00799,0,5.06702e-05,5.06702e-05,5.06702e-05
31,4155.3,1.1906,2.11118,1.12408,0.00692,0.26064,0.7831,0.71213,0.78339,0.61086,0.75761,0.69696,0.75117,0.5197,1.20114,1.99666,1.00253,0.00797,0,4.8314e-05,4.8314e-05,4.8314e-05
32,4297.98,1.29901,2.21571,1.28116,0.00667,0.26101,0.78561,0.70952,0.78416,0.6138,0.78103,0.6892,0.75133,0.52045,1.19904,1.98876,0.9962,0.00795,0,4.59578e-05,4.59578e-05,4.59578e-05
