时间,风机名,风速(m/s),功率(kW),发电机转速（rpm）,叶片角度(°),发电量（kWh）,备注
2015/4/1 0:00,A01,6.29,327,1403.7,0.02,8980390,
2015/4/1 0:10,A01,6.29,327,1403.7,0.02,8980390,此时间点无数据
2015/4/1 0:20,A01,5.59,252.6,1287.2,0.02,8980489,
2015/4/1 0:30,A01,5.2,211.2,1215.6,0.02,8980526,
2015/4/1 0:40,A01,5.14,211.2,1215.3,0.02,8980560,
2015/4/1 0:50,A01,5.54,159,1107.6,0.02,8980587,
2015/4/1 1:00,A01,5.82,184.2,1162.7,0.02,8980616,
2015/4/1 1:10,A01,5.28,159.6,1107.8,0.02,8980641,
2015/4/1 1:20,A01,5.45,173.4,1138.9,0.02,8980674,
2015/4/1 1:30,A01,5.42,170.4,1133.6,0.02,8980705,
2015/4/1 1:40,A01,5.62,174,1143.3,0.02,8980734,
2015/4/1 1:50,A01,5.73,223.8,1238.5,0.02,8980767,
2015/4/1 2:00,A01,6.21,286.2,1346.6,0.02,8980814,
2015/4/1 2:10,A01,6.21,286.2,1346.6,0.02,8980814,此时间点无数据
2015/4/1 2:20,A01,6.04,297,1359.9,0.02,8980902,
2015/4/1 2:30,A01,6.99,317.4,1388.7,0.02,8980954,
2015/4/1 2:40,A01,6.23,315,1386.5,0.02,8981010,
2015/4/1 2:50,A01,6.29,313.2,1385,0.02,8981064,
2015/4/1 3:00,A01,6.82,266.4,1313,0.02,8981111,
2015/4/1 3:10,A01,6.65,289.2,1347.7,0.02,8981156,
2015/4/1 3:20,A01,6.4,285.6,1342.3,0.02,8981202,
2015/4/1 3:30,A01,6.26,288.6,1348.4,0.02,8981249,
2015/4/1 3:40,A01,6.51,321.6,1396.2,0.02,8981300,
2015/4/1 3:50,A01,7.6,481.8,1596.1,0.02,8981367,
2015/4/1 4:00,A01,5.62,352.8,1440.9,0.02,8981439,
2015/4/1 4:10,A01,5.79,311.4,1383.5,0.02,8981496,
2015/4/1 4:20,A01,6.82,361.2,1449.8,0.02,8981548,
2015/4/1 4:30,A01,6.32,309.6,1379.2,0.02,8981604,
2015/4/1 4:40,A01,6.04,224.4,1241.8,0.02,8981650,
2015/4/1 4:50,A01,6.18,301.2,1365.2,0.02,8981693,
2015/4/1 5:00,A01,6.04,273,1324,0.02,8981741,
2015/4/1 5:10,A01,6.01,264.6,1309.8,0.02,8981785,
2015/4/1 5:20,A01,6.07,226.2,1240.9,0.02,8981824,
2015/4/1 5:30,A01,5.9,204.6,1205.6,0.02,8981851,
2015/4/1 5:40,A01,6.26,222,1236.9,0.02,8981888,
2015/4/1 5:50,A01,5.09,175.8,1144.6,0.02,8981923,
2015/4/1 6:00,A01,4.64,127.2,1051,0.02,8981947,
2015/4/1 6:10,A01,4.61,93.60001,1053.2,0.02,8981966,
2015/4/1 6:20,A01,3.55,60,1049.9,0.02,8981980,
2015/4/1 6:30,A01,3.11,44.4,1050.8,0.02,8981990,
2015/4/1 6:40,A01,2.6,3.6,1049.9,0.02,8981994,
2015/4/1 6:50,A01,2.38,0,0,88.97,8981995,
2015/4/1 7:00,A01,2.55,0,0,88.97,8981995,
2015/4/1 7:10,A01,1.01,0,0,88.97,8981995,
2015/4/1 7:20,A01,1.04,0,-2.2,88.97,8981995,
2015/4/1 7:30,A01,1.71,0,0,88.97,8981995,
2015/4/1 7:40,A01,2.07,0,0,88.97,8981995,
2015/4/1 7:50,A01,2.94,0,0,88.97,8981995,
2015/4/1 8:00,A01,2.94,0,0,88.97,8981995,此时间点无数据
2015/4/1 8:10,A01,2.94,0,10.3,88.97,8981995,
2015/4/1 8:20,A01,2.57,0,0,88.97,8981995,
2015/4/1 8:30,A01,2.46,0,2,88.97,8981995,
2015/4/1 8:40,A01,2.57,0,-1.6,88.97,8981995,
2015/4/1 8:50,A01,2.57,0,-1.6,88.97,8981995,此时间点无数据
2015/4/1 9:00,A01,2.35,0,7.9,88.97,8981995,
2015/4/1 9:10,A01,2.24,0,0.9,88.97,8981995,
2015/4/1 9:20,A01,3.38,0,-9.5,88.97,8981995,
2015/4/1 9:30,A01,1.26,0,0,88.97,8981995,
2015/4/1 9:40,A01,2.85,0,13.2,88.97,8981995,
2015/4/1 9:50,A01,1.62,0,1.8,88.97,8981995,
2015/4/1 10:00,A01,2.94,0,-1.8,88.97,8981995,
2015/4/1 10:10,A01,3.47,0,0.2,88.97,8981995,
2015/4/1 10:20,A01,1.99,0,-2.9,88.97,8981995,
2015/4/1 10:30,A01,3.3,0,-5.3,88.97,8981995,
2015/4/1 10:40,A01,3.02,0,-1.8,88.97,8981995,
2015/4/1 10:50,A01,1.07,0,37,88.97,8981995,
2015/4/1 11:00,A01,3.83,0,14.8,88.97,8981995,
2015/4/1 11:10,A01,3.83,0,14.8,88.97,8981995,此时间点无数据
2015/4/1 11:20,A01,3.36,0,-2.4,88.97,8981995,
2015/4/1 11:30,A01,3.36,0,-2.4,88.97,8981995,此时间点无数据
2015/4/1 11:40,A01,4.61,149.4,1084,0.03,8982033,
2015/4/1 11:50,A01,5.51,200.4,1197.7,0.03,8982069,
2015/4/1 12:00,A01,5.51,200.4,1197.7,0.03,8982069,此时间点无数据
2015/4/1 12:10,A01,5.51,200.4,1197.7,0.03,8982069,此时间点无数据
2015/4/1 12:20,A01,6.04,322.8,1398.2,0.03,8982163,
2015/4/1 12:30,A01,5.23,225.6,1244.8,0.03,8982220,
2015/4/1 12:40,A01,7.1,576.6,1691.9,0.03,8982278,
2015/4/1 12:50,A01,8.13,665.4,1773.6,0.03,8982364,
2015/4/1 13:00,A01,5.51,198,1190.4,0.03,8982421,
2015/4/1 13:10,A01,5.62,419.4,1523.6,0.03,8982465,
2015/4/1 13:20,A01,5.28,322.8,1401.3,0.03,8982524,
2015/4/1 13:30,A01,5.68,372,1463.4,0.03,8982593,
2015/4/1 13:40,A01,5.68,372,1463.4,0.03,8982593,此时间点无数据
2015/4/1 13:50,A01,5.98,309,1380.2,0.03,8982703,
2015/4/1 14:00,A01,6.93,349.8,1439.6,0.03,8982761,
2015/4/1 14:10,A01,6.93,507.6,1626.3,0.03,8982828,
2015/4/1 14:20,A01,6.93,507.6,1626.3,0.03,8982828,此时间点无数据
2015/4/1 14:30,A01,7.18,646.2,1759.8,0.03,8982985,
2015/4/1 14:40,A01,7.18,646.2,1759.8,0.03,8982985,此时间点无数据
2015/4/1 14:50,A01,7.18,646.2,1759.8,0.03,8982985,此时间点无数据
2015/4/1 15:00,A01,6.74,488.4,1604.7,0.03,8983274,
2015/4/1 15:10,A01,8.97,870.6,1809.4,0.03,8983391,
2015/4/1 15:20,A01,8.5,850.8,1808.9,0.03,8983519,
2015/4/1 15:30,A01,9.08,1026,1805.2,0.03,8983658,
2015/4/1 15:40,A01,8.27,693,1799.4,0.03,8983822,
2015/4/1 15:50,A01,9.17,1049.4,1809.4,0.03,8983969,
2015/4/1 16:00,A01,9.89,1131.6,1807.1,0.03,8984137,
2015/4/1 16:10,A01,9.95,1098.6,1807.1,0.03,8984338,
2015/4/1 16:20,A01,10.87,1283.4,1810.2,0.03,8984538,
2015/4/1 16:30,A01,10.87,1283.4,1810.2,0.03,8984538,此时间点无数据
2015/4/1 16:40,A01,10.87,1283.4,1810.2,0.03,8984538,此时间点无数据
2015/4/1 16:50,A01,11.1,1410,1806.5,0.03,8985199,
2015/4/1 17:00,A01,11.1,1410,1806.5,0.03,8985199,此时间点无数据
2015/4/1 17:10,A01,11.1,1410,1806.5,0.03,8985199,此时间点无数据
2015/4/1 17:20,A01,11.1,1410,1806.5,0.03,8985199,此时间点无数据
2015/4/1 17:30,A01,11.52,1489.8,1803.6,0.07,8986139,
2015/4/1 17:40,A01,11.52,1489.8,1803.6,0.07,8986139,此时间点无数据
2015/4/1 17:50,A01,11.68,1425.6,1808.2,0.03,8986628,
2015/4/1 18:00,A01,11.77,1402.2,1810.9,0.08,8986866,
2015/4/1 18:10,A01,11.77,1402.2,1810.9,0.08,8986866,此时间点无数据
2015/4/1 18:20,A01,13.42,1539.6,1807.1,0.06,8987364,
2015/4/1 18:30,A01,12.35,1346.4,1805.1,0.03,8987609,
2015/4/1 18:40,A01,10.45,1234.8,1808.3,0.03,8987832,
2015/4/1 18:50,A01,11.07,1365,1800.5,0.03,8988050,
2015/4/1 19:00,A01,11.91,1372.8,1808,0.03,8988271,
2015/4/1 19:10,A01,11.91,1521,1809.8,0.02,8988510,
2015/4/1 19:20,A01,13.67,1596.6,1779.1,4.71,8988768,
2015/4/1 19:30,A01,12.47,1548,1807.4,0.03,8989026,
2015/4/1 19:40,A01,12.47,1548,1807.4,0.03,8989026,此时间点无数据
2015/4/1 19:50,A01,12.72,1598.4,1800.7,7.07,8989554,
2015/4/1 20:00,A01,12.24,1536,1805.8,0.02,8989818,
2015/4/1 20:10,A01,12.38,1514.4,1814.4,0.19,8990069,
2015/4/1 20:20,A01,12.05,1570.8,1791.1,0.06,8990318,
2015/4/1 20:30,A01,12.05,1570.8,1791.1,0.06,8990318,此时间点无数据
2015/4/1 20:40,A01,12.49,1599.6,1806.3,6.34,8990848,
2015/4/1 20:50,A01,13.97,1606.2,1818.1,8.69,8991114,
2015/4/1 21:00,A01,13.97,1606.2,1818.1,8.69,8991114,此时间点无数据
2015/4/1 21:10,A01,14.45,1599.6,1802.3,10.02,8991647,
2015/4/1 21:20,A01,14.78,1602,1812.6,9.95,8991914,
2015/4/1 21:30,A01,14,1598.4,1804.7,8.71,8992180,
2015/4/1 21:40,A01,15.4,1598.4,1804.5,11.44,8992447,
2015/4/1 21:50,A01,15.4,1598.4,1804.5,11.44,8992447,此时间点无数据
2015/4/1 22:00,A01,15.4,1598.4,1804.5,11.44,8992447,此时间点无数据
2015/4/1 22:10,A01,16.01,1602,1810,13.08,8993246,
2015/4/1 22:20,A01,15.65,1595.4,1811.8,12.12,8993513,
2015/4/1 22:30,A01,15.23,1605,1803.4,12.33,8993779,
2015/4/1 22:40,A01,15.23,1605,1803.4,12.33,8993779,此时间点无数据
2015/4/1 22:50,A01,15.43,1603.2,1800.1,11.57,8994312,
2015/4/1 23:00,A01,14.31,1605.6,1820.1,10.57,8994579,
2015/4/1 23:10,A01,14.23,1605.6,1820.6,11.95,8994845,
2015/4/1 23:20,A01,15.9,1599,1809.6,10.95,8995111,
2015/4/1 23:30,A01,15.9,1599,1809.6,10.95,8995111,此时间点无数据
2015/4/1 23:40,A01,14.7,1597.8,1807.6,11.68,8995644,
2015/4/1 23:50,A01,14.28,1593,1772.1,9.85,8995911,
2015/4/2 0:00,A01,16.74,1596,1800.7,12.52,8996178,
2015/4/2 0:10,A01,15.43,1596.6,1805.2,12,8996444,
2015/4/2 0:20,A01,15.43,1596.6,1805.2,12,8996444,此时间点无数据
2015/4/2 0:30,A01,16.04,1591.8,1809.8,11.21,8996977,
2015/4/2 0:40,A01,16.15,1602.6,1804.9,12.11,8997244,
2015/4/2 0:50,A01,16.15,1602.6,1804.9,12.11,8997244,此时间点无数据
2015/4/2 1:00,A01,14.03,1597.2,1799.9,12.17,8997777,
2015/4/2 1:10,A01,16.07,1600.8,1810.2,13.98,8998043,
2015/4/2 1:20,A01,14.23,1596,1806.9,10.14,8998310,
2015/4/2 1:30,A01,14.28,1602,1808.9,10.5,8998576,
2015/4/2 1:40,A01,16.1,1593,1795.7,12.32,8998843,
2015/4/2 1:50,A01,15.96,1600.2,1812.7,12.95,8999109,
2015/4/2 2:00,A01,15.68,1597.8,1821.4,13.56,8999376,
2015/4/2 2:10,A01,14.28,1600.2,1812.4,12.04,8999643,
2015/4/2 2:20,A01,14.56,1603.2,1789.1,12.1,8999909,
2015/4/2 2:30,A01,16.29,1603.8,1817.5,13.33,9000176,
2015/4/2 2:40,A01,14.28,1602.6,1801.4,11.68,9000442,
2015/4/2 2:50,A01,14.25,1585.8,1780,12.47,9000709,
2015/4/2 3:00,A01,16.29,1599.6,1805.2,15.72,9000975,
2015/4/2 3:10,A01,16.4,1608.6,1773.2,12.98,9001242,
2015/4/2 3:20,A01,14.48,1584.6,1801.2,11.59,9001509,
2015/4/2 3:30,A01,13.64,1606.2,1818.2,11.93,9001775,
2015/4/2 3:40,A01,14.81,1593,1798.5,12.06,9002042,
2015/4/2 3:50,A01,14.81,1593,1798.5,12.06,9002042,此时间点无数据
2015/4/2 4:00,A01,12.74,1597.8,1800.3,7.75,9002575,
2015/4/2 4:10,A01,13.64,1597.2,1799.9,7.02,9002842,
2015/4/2 4:20,A01,13.16,1608,1820.8,8.55,9003108,
2015/4/2 4:30,A01,12.72,1593,1808,8.58,9003374,
2015/4/2 4:40,A01,12.72,1593,1808,8.58,9003374,此时间点无数据
2015/4/2 4:50,A01,12.97,1609.2,1812.6,7.75,9003902,
2015/4/2 5:00,A01,12.97,1609.2,1812.6,7.75,9003902,此时间点无数据
2015/4/2 5:10,A01,14.31,1603.2,1799.7,10.67,9004434,
2015/4/2 5:20,A01,14.2,1605.6,1798.5,8.24,9004701,
2015/4/2 5:30,A01,13.53,1596,1818.8,8.59,9004967,
2015/4/2 5:40,A01,15.96,1602.6,1802.7,12.9,9005234,
2015/4/2 5:50,A01,15.15,1594.2,1762.2,11.68,9005500,
2015/4/2 6:00,A01,14.67,1593.6,1809.1,13.52,9005765,
2015/4/2 6:10,A01,17.16,1601.4,1779.6,12.81,9006031,
2015/4/2 6:20,A01,17.16,1601.4,1779.6,12.81,9006031,此时间点无数据
2015/4/2 6:30,A01,16.15,1594.8,1808,14.35,9006564,
2015/4/2 6:40,A01,16.15,1594.8,1808,14.35,9006564,此时间点无数据
2015/4/2 6:50,A01,11.35,1530,1684.4,3.98,9007096,
2015/4/2 7:00,A01,11.35,1530,1684.4,3.98,9007096,此时间点无数据
2015/4/2 7:10,A01,11.35,1530,1684.4,3.98,9007096,此时间点无数据
2015/4/2 7:20,A01,14.28,1595.4,1767.5,11.14,9007875,
2015/4/2 7:30,A01,14.48,1597.8,1794.6,11.45,9008141,
2015/4/2 7:40,A01,14.48,1597.8,1794.6,11.45,9008141,此时间点无数据
2015/4/2 7:50,A01,14.06,1596.6,1766.8,7.36,9008674,
2015/4/2 8:00,A01,13.78,1596.6,1795.3,10.78,9008937,
2015/4/2 8:10,A01,13.11,1604.4,1802.5,10.2,9009204,
2015/4/2 8:20,A01,16.15,1593,1792.8,13.02,9009470,
2015/4/2 8:30,A01,13.67,1604.4,1828.9,11.45,9009737,
2015/4/2 8:40,A01,15.12,1597.8,1810.4,13.93,9010003,
2015/4/2 8:50,A01,16.1,1599.6,1805.4,15.09,9010269,
2015/4/2 9:00,A01,16.1,1599.6,1805.4,15.09,9010269,此时间点无数据
2015/4/2 9:10,A01,14.98,1582.8,1782.9,11.12,9010798,
2015/4/2 9:20,A01,14.98,1582.8,1782.9,11.12,9010798,此时间点无数据
2015/4/2 9:30,A01,10.31,1582.2,1739,3.69,9011321,
2015/4/2 9:40,A01,12.94,1621.2,1853.8,6.37,9011580,
2015/4/2 9:50,A01,12.58,1594.2,1784.7,6.96,9011830,
2015/4/2 10:00,A01,12.58,1594.2,1784.7,6.96,9011830,此时间点无数据
2015/4/2 10:10,A01,12.63,1607.4,1811.3,7.99,9012330,
2015/4/2 10:20,A01,11.74,1126.2,1703.6,0.03,9012579,
2015/4/2 10:30,A01,11.74,1126.2,1703.6,0.03,9012579,此时间点无数据
2015/4/2 10:40,A01,11.74,1126.2,1703.6,0.03,9012579,此时间点无数据
2015/4/2 10:50,A01,10.65,1589.4,1779.8,2.34,9013328,
2015/4/2 11:00,A01,13.08,1617,1841.3,6.32,9013574,
2015/4/2 11:10,A01,12.07,1603.2,1778.1,5.7,9013799,
2015/4/2 11:20,A01,12.91,1554,1765,12.08,9014042,
2015/4/2 11:30,A01,13.02,1510.8,1812.2,0.34,9014281,
2015/4/2 11:40,A01,13.42,1599.6,1756.3,4.29,9014517,
2015/4/2 11:50,A01,13.42,1599.6,1756.3,4.29,9014517,此时间点无数据
2015/4/2 12:00,A01,13.14,1598.4,1776.3,2.91,9015001,
2015/4/2 12:10,A01,11.43,1504.8,1816.6,0.46,9015232,
2015/4/2 12:20,A01,11.54,1599.6,1809.1,0.92,9015465,
2015/4/2 12:30,A01,10.31,1290,1799.4,0.06,9015653,
2015/4/2 12:40,A01,8.83,736.8,1783.6,0.03,9015850,
2015/4/2 12:50,A01,11.65,1267.8,1819.7,1.49,9016055,
2015/4/2 13:00,A01,12.97,1374,1803.2,0.05,9016266,
2015/4/2 13:10,A01,12.97,1374,1803.2,0.05,9016266,此时间点无数据
2015/4/2 13:20,A01,12.97,1374,1803.2,0.05,9016266,此时间点无数据
2015/4/2 13:30,A01,12.97,1374,1803.2,0.05,9016266,此时间点无数据
2015/4/2 13:40,A01,11.1,1187.4,1804.5,0.03,9016855,
2015/4/2 13:50,A01,9.14,929.4,1794.1,0.02,9017041,
2015/4/2 14:00,A01,10.4,1494,1814.8,0.06,9017239,
2015/4/2 14:10,A01,8.41,886.8,1795.3,0.08,9017459,
2015/4/2 14:20,A01,8.41,886.8,1795.3,0.08,9017459,此时间点无数据
2015/4/2 14:30,A01,11.6,1497.6,1807.6,0.04,9017896,
2015/4/2 14:40,A01,11.29,1251.6,1794.8,0.03,9018116,
2015/4/2 14:50,A01,9.7,1357.2,1810.5,0.03,9018331,
2015/4/2 15:00,A01,7.97,883.2001,1794.6,0.06,9018538,
2015/4/2 15:10,A01,12.49,1480.2,1808.5,0.05,9018776,
2015/4/2 15:20,A01,12.63,1579.2,1805.8,0.05,9019008,
2015/4/2 15:30,A01,12.38,1414.8,1713.9,0.03,9019244,
2015/4/2 15:40,A01,12.58,1533,1810.5,0.04,9019486,
2015/4/2 15:50,A01,13.55,1592.4,1818.2,7.17,9019744,
2015/4/2 16:00,A01,12.83,1602,1811.6,4.64,9020006,
2015/4/2 16:10,A01,11.6,1510.8,1806.2,0.03,9020265,
2015/4/2 16:20,A01,11.6,1510.8,1806.2,0.03,9020265,此时间点无数据
2015/4/2 16:30,A01,12.63,1441.8,1811.3,0.02,9020764,
2015/4/2 16:40,A01,12.16,1472.4,1805.6,0.03,9021014,
2015/4/2 16:50,A01,12.05,1414.8,1805.1,0.05,9021243,
2015/4/2 17:00,A01,12.05,1414.8,1805.1,0.05,9021243,此时间点无数据
2015/4/2 17:10,A01,13.44,1598.4,1814.4,0.44,9021730,
2015/4/2 17:20,A01,13.44,1598.4,1814.4,0.44,9021730,此时间点无数据
2015/4/2 17:30,A01,12.6,1592.4,1801.6,3.9,9022243,
2015/4/2 17:40,A01,11.35,1453.2,1805.8,0.04,9022495,
2015/4/2 17:50,A01,11.85,1479.6,1807.8,0.05,9022735,
2015/4/2 18:00,A01,12.19,1515,1807.6,0.05,9022980,
2015/4/2 18:10,A01,13.3,1513.8,1804.9,0.07,9023223,
2015/4/2 18:20,A01,14,1600.2,1806.7,7.42,9023471,
2015/4/2 18:30,A01,12.97,1597.8,1810,4.56,9023738,
2015/4/2 18:40,A01,10.82,1366.8,1808.2,0.06,9023978,
2015/4/2 18:50,A01,10.31,1470,1805.1,0.06,9024220,
2015/4/2 19:00,A01,12.88,1506,1811.3,0.04,9024465,
2015/4/2 19:10,A01,13.58,1603.2,1832.9,10.84,9024722,
2015/4/2 19:20,A01,11.15,1464.6,1806.5,0.06,9024977,
2015/4/2 19:30,A01,13.97,1603.8,1811.3,9.11,9025242,
2015/4/2 19:40,A01,13.89,1602.6,1809.4,10.41,9025508,
2015/4/2 19:50,A01,11.85,1454.4,1815.7,0.07,9025771,
2015/4/2 20:00,A01,12.38,1589.4,1822.8,0.85,9026030,
2015/4/2 20:10,A01,14.9,1597.2,1797,9.66,9026283,
2015/4/2 20:20,A01,12.05,1596.6,1817.5,9.29,9026548,
2015/4/2 20:30,A01,14.56,1581,1805.8,12.8,9026812,
2015/4/2 20:40,A01,17.38,1598.4,1808.2,15.77,9027079,
2015/4/2 20:50,A01,17.97,1606.2,1792.2,17.81,9027345,
2015/4/2 21:00,A01,14.67,1596.6,1817.1,13.83,9027612,
2015/4/2 21:10,A01,11.35,1423.8,1783.8,0.03,9027877,
2015/4/2 21:20,A01,7.49,453,1557.1,0.01,9028000,
2015/4/2 21:30,A01,7.1,520.2,1634.4,0.02,9028088,
2015/4/2 21:40,A01,4.67,183,1155.8,0.02,9028150,
2015/4/2 21:50,A01,7.55,436.8,1547.2,0.02,9028265,
2015/4/2 22:00,A01,6.18,349.2,1434.1,0.02,9028350,
2015/4/2 22:10,A01,5.17,270.6,1318.4,0.02,9028403,
2015/4/2 22:20,A01,4.67,204,1202.6,0.02,9028455,
2015/4/2 22:30,A01,6.93,348.6,1432.8,0.02,9028515,
2015/4/2 22:40,A01,6.04,225,1240.9,0.02,9028568,
2015/4/2 22:50,A01,6.57,312.6,1385.7,0.02,9028596,
2015/4/2 23:00,A01,6.54,347.4,1429.3,0.02,9028654,
2015/4/2 23:10,A01,7.24,439.8,1554.4,0.02,9028720,
2015/4/2 23:20,A01,8.41,567,1684.8,0.02,9028788,
2015/4/2 23:30,A01,8.13,661.8,1774.8,0.02,9028888,
2015/4/2 23:40,A01,6.54,370.8,1462.8,0.02,9028964,
2015/4/2 23:50,A01,8.61,637.8,1752.7,0.02,9029015,
2015/4/3 0:00,A01,5.42,270,1314.9,0.02,9029101,
2015/4/3 0:10,A01,5.82,283.8,1338.1,0.02,9029146,
2015/4/3 0:20,A01,5.84,271.8,1323.3,0.02,9029184,
2015/4/3 0:30,A01,6.23,454.8,1564.5,0.02,9029236,
2015/4/3 0:40,A01,7.69,493.2,1611.3,0.02,9029310,
2015/4/3 0:50,A01,7.69,493.2,1611.3,0.02,9029310,此时间点无数据
2015/4/3 1:00,A01,7.69,493.2,1611.3,0.02,9029310,此时间点无数据
2015/4/3 1:10,A01,10.7,1320.6,1808.7,0.02,9029700,
2015/4/3 1:20,A01,12.8,1605,1797.7,14.29,9029880,
2015/4/3 1:30,A01,11.38,1604.4,1811.3,0.97,9030120,
2015/4/3 1:40,A01,12.83,1610.4,1818.1,7.5,9030385,
2015/4/3 1:50,A01,13.33,1602,1813.5,7.95,9030651,
2015/4/3 2:00,A01,13.72,1611.6,1826.5,7.95,9030917,
2015/4/3 2:10,A01,12.58,1592.4,1795.5,6.14,9031183,
2015/4/3 2:20,A01,12.88,1603.2,1801.9,2.98,9031443,
2015/4/3 2:30,A01,12.24,1594.2,1787.7,1.33,9031704,
2015/4/3 2:40,A01,13.3,1595.4,1788.2,5.22,9031970,
2015/4/3 2:50,A01,10.68,1489.2,1803.8,0.06,9032214,
2015/4/3 3:00,A01,7.21,783,1817,0.06,9032409,
2015/4/3 3:10,A01,8.5,720,1807.1,0.06,9032562,
2015/4/3 3:20,A01,6.99,698.4,1806.5,0.06,9032690,
2015/4/3 3:30,A01,7.24,643.2,1757.8,0.06,9032811,
2015/4/3 3:40,A01,7.21,592.2,1710.6,0.06,9032890,
2015/4/3 3:50,A01,8.25,706.8,1808.7,0.06,9032994,
2015/4/3 4:00,A01,9.28,796.8,1810,0.06,9033103,
2015/4/3 4:10,A01,8.39,940.2001,1809.3,0.06,9033249,
2015/4/3 4:20,A01,9.08,931.8,1810.2,0.06,9033387,
2015/4/3 4:30,A01,7.27,554.4,1674.1,0.06,9033509,
2015/4/3 4:40,A01,6.77,594.6,1708.4,0.06,9033606,
2015/4/3 4:50,A01,6.51,584.4,1702.3,0.06,9033703,
2015/4/3 5:00,A01,5.79,301.8,1366.9,0.06,9033794,
2015/4/3 5:10,A01,5.76,280.8,1332.3,0.06,9033847,
2015/4/3 5:20,A01,6.54,420.6,1525.3,0.06,9033906,
2015/4/3 5:30,A01,6.54,420.6,1525.3,0.06,9033906,此时间点无数据
2015/4/3 5:40,A01,6.54,420.6,1525.3,0.06,9033906,此时间点无数据
2015/4/3 5:50,A01,6.54,420.6,1525.3,0.06,9033906,此时间点无数据
2015/4/3 6:00,A01,6.54,420.6,1525.3,0.06,9033906,此时间点无数据
2015/4/3 6:10,A01,6.54,420.6,1525.3,0.06,9033906,此时间点无数据
2015/4/3 6:20,A01,5.31,239.4,1269.1,0.06,9033938,
2015/4/3 6:30,A01,4.5,113.4,1051.2,0.06,9033971,
2015/4/3 6:40,A01,4.5,113.4,1051.2,0.06,9033971,此时间点无数据
2015/4/3 6:50,A01,4.5,113.4,1051.2,0.06,9033971,此时间点无数据
2015/4/3 7:00,A01,4.5,113.4,1051.2,0.06,9033971,此时间点无数据
2015/4/3 7:10,A01,4.5,113.4,1051.2,0.06,9033971,此时间点无数据
2015/4/3 7:20,A01,3.52,93,1049.2,0.01,9034073,
2015/4/3 7:30,A01,4.95,141,1060,0.01,9034121,
2015/4/3 7:40,A01,2.94,27.6,1052.1,0.01,9034143,
2015/4/3 7:50,A01,3.13,0,15.4,88.98,9034144,
2015/4/3 8:00,A01,3.78,24,1051,0.01,9034145,
2015/4/3 8:10,A01,4.08,96.60001,1048.5,0.01,9034156,
2015/4/3 8:20,A01,4.42,76.2,1050.3,0.01,9034170,
2015/4/3 8:30,A01,4.53,96.60001,1049.9,0.01,9034183,
2015/4/3 8:40,A01,0.95,0,0,88.98,9034186,
2015/4/3 8:50,A01,1.18,0,0,88.98,9034186,
2015/4/3 9:00,A01,3.33,0,1.8,88.98,9034186,
2015/4/3 9:10,A01,2.02,0,0,88.98,9034186,
2015/4/3 9:20,A01,2.1,0,7.1,88.98,9034186,
2015/4/3 9:30,A01,1.04,0,0,88.98,9034186,
2015/4/3 9:40,A01,1.04,0,0,88.98,9034186,此时间点无数据
2015/4/3 9:50,A01,1.46,0,-1.8,88.98,9034186,
2015/4/3 10:00,A01,1.46,0,-1.8,88.98,9034186,此时间点无数据
2015/4/3 10:10,A01,0.76,0,-8.1,88.98,9034186,
2015/4/3 10:20,A01,0.98,0,-2.7,88.98,9034186,
2015/4/3 10:30,A01,0,0,0,88.98,9034186,
2015/4/3 10:40,A01,0,0,0,88.98,9034186,此时间点无数据
2015/4/3 10:50,A01,1.71,0,0,88.98,9034186,
2015/4/3 11:00,A01,2.46,0,0,88.98,9034186,
2015/4/3 11:10,A01,2.46,0,0,88.98,9034186,此时间点无数据
2015/4/3 11:20,A01,0.14,0,-3.5,88.98,9034186,
2015/4/3 11:30,A01,0,0,0,88.98,9034186,
2015/4/3 11:40,A01,0,0,0,88.98,9034186,此时间点无数据
2015/4/3 11:50,A01,2.1,0,0,88.98,9034186,
2015/4/3 12:00,A01,2.6,0,0,88.98,9034186,
2015/4/3 12:10,A01,1.4,0,0,88.98,9034186,
2015/4/3 12:20,A01,1.15,0,-0.7,88.98,9034186,
2015/4/3 12:30,A01,1.15,0,-0.7,88.98,9034186,此时间点无数据
2015/4/3 12:40,A01,0,0,0,88.98,9034186,
2015/4/3 12:50,A01,1.4,0,0,88.98,9034186,
2015/4/3 13:00,A01,0,0,0,88.98,9034186,
2015/4/3 13:10,A01,0.98,0,0,88.98,9034186,
2015/4/3 13:20,A01,1.04,0,0,88.98,9034186,
2015/4/3 13:30,A01,1.04,0,0,88.98,9034186,此时间点无数据
2015/4/3 13:40,A01,0.95,0,0,88.98,9034186,
2015/4/3 13:50,A01,1.32,0,0,88.98,9034186,
2015/4/3 14:00,A01,1.32,0,0,88.98,9034186,此时间点无数据
2015/4/3 14:10,A01,1.32,0,0,88.98,9034186,此时间点无数据
2015/4/3 14:20,A01,1.32,0,0,88.98,9034186,此时间点无数据
2015/4/3 14:30,A01,1.57,0,0,88.98,9034186,
2015/4/3 14:40,A01,0,0,0.5,88.98,9034186,
2015/4/3 14:50,A01,0,0,0.5,88.98,9034186,此时间点无数据
2015/4/3 15:00,A01,0,0,0,88.98,9034186,
2015/4/3 15:10,A01,1.99,0,4.6,88.98,9034186,
2015/4/3 15:20,A01,1.99,0,6.8,88.98,9034186,
