epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.9338,0.8977,2.92647,1.19816,0.00333,1,0.54652,0.48633,0.5084,3.29446,0.88302,0.00021435,0.00021435,0.00021435
2,167.995,0.72686,1.84339,1.02118,0.00352,1,0.9207,0.81499,0.53551,3.14061,0.87282,0.000425448,0.000425448,0.000425448
3,251.149,0.68725,1.4461,0.97147,0.95114,0.62805,0.995,0.87904,0.54355,2.8751,0.91322,0.000618437,0.000618437,0.000618437
4,334.518,0.74965,1.4605,0.99739,0.82524,0.61538,0.89787,0.74959,0.7065,2.54464,1.00047,0.000793318,0.000793318,0.000793318
5,416.937,0.71537,1.26863,0.97916,0.95066,0.99376,0.99333,0.83792,0.65217,1.70091,0.93892,0.000950091,0.000950091,0.000950091
6,499.479,0.70512,1.22101,0.96096,0.67397,0.78721,0.78048,0.67526,0.55103,3.83224,0.89972,0.00108876,0.00108876,0.00108876
7,582.934,0.72987,1.24713,0.96782,0.98854,1,0.995,0.86249,0.60175,1.37408,0.91798,0.00108947,0.00108947,0.00108947
8,665.323,0.70498,1.12416,0.97403,0.91435,0.94029,0.98984,0.86099,0.63871,1.46505,0.92792,0.00103288,0.00103288,0.00103288
9,748.219,0.70511,1.07122,0.97128,0.92498,0.97469,0.995,0.86974,0.57378,1.33505,0.90088,0.000976293,0.000976293,0.000976293
10,830.887,0.6517,1.00273,0.95038,0.986,1,0.995,0.84889,0.57501,1.15464,0.88473,0.000919704,0.000919704,0.000919704
11,913.291,0.64116,0.91824,0.93704,0.94579,0.90373,0.98767,0.85351,0.56317,1.23232,0.88725,0.000863116,0.000863116,0.000863116
12,995.955,0.64595,0.8672,0.9419,0.98148,0.92794,0.995,0.8574,0.60568,1.06513,0.89954,0.000806528,0.000806528,0.000806528
13,1078.35,0.6298,0.84856,0.9355,0.98882,0.97882,0.995,0.8813,0.54936,0.95685,0.8908,0.000749939,0.000749939,0.000749939
14,1161.21,0.63039,0.77469,0.93505,0.99015,1,0.995,0.88558,0.56519,0.8297,0.88224,0.000693351,0.000693351,0.000693351
15,1243.99,0.6364,0.76976,0.93667,0.99155,1,0.995,0.89061,0.54161,0.77983,0.8679,0.000636762,0.000636762,0.000636762
16,1325.58,0.55128,0.9361,0.90222,0.93998,0.97658,0.98767,0.88921,0.51385,1.05474,0.85958,0.000580174,0.000580174,0.000580174
17,1407.5,0.54343,0.92257,0.90338,0.96318,0.98141,0.995,0.88599,0.53656,0.83987,0.86738,0.000523586,0.000523586,0.000523586
18,1495.13,0.53203,0.82304,0.91052,0.99003,1,0.995,0.89673,0.50077,0.79738,0.8516,0.000466997,0.000466997,0.000466997
19,1576.88,0.5334,0.77935,0.89319,0.99336,1,0.995,0.8786,0.59473,0.75801,0.88795,0.000410409,0.000410409,0.000410409
20,1659.14,0.52934,0.7787,0.89744,0.98559,1,0.995,0.86547,0.5576,0.79633,0.86687,0.00035382,0.00035382,0.00035382
21,1741.26,0.52769,0.71218,0.9075,0.99058,1,0.995,0.90692,0.49563,0.72769,0.85598,0.000297232,0.000297232,0.000297232
22,1823.75,0.5174,0.68009,0.89768,0.98905,1,0.995,0.88668,0.53548,0.69638,0.86295,0.000240644,0.000240644,0.000240644
23,1905.46,0.51613,0.65135,0.8923,0.99377,1,0.995,0.89615,0.49541,0.6515,0.8479,0.000184055,0.000184055,0.000184055
24,1987.24,0.50475,0.62768,0.88863,0.99359,1,0.995,0.88487,0.52582,0.65902,0.8629,0.000127467,0.000127467,0.000127467
25,2069.69,0.50491,0.61922,0.88589,0.99357,1,0.995,0.88332,0.52635,0.64747,0.86175,7.08784e-05,7.08784e-05,7.08784e-05
